address,pro_tx_hash,kind,valid,status,stale,score,grade,headers_synced,headers_target,headers_per_sec,filter_headers_synced,filters_synced,filters_per_sec,advertised_height,connect_ms,avg_ping_ms,bytes_received,timeouts,validation_failures,total_secs,error
91.98.160.22:9999,60aafb3092ed1b493895500bdb58763e9dcc1d0010a6f641ba0ee4942abb1900,Regular,true,done,false,90.9,A,52843,52843,5692.0,52843,52843,10521.8,2502843,236,908,27641188,0,0,12.66,
159.203.4.177:9999,22ce2e5fce17c631de6baebd11533633a12ae980e15fbc5e527883cc4d822d00,Regular,true,done,false,90.9,A,52843,52843,8503.6,52843,52843,12959.7,2502843,78,912,27570487,0,0,10.50,
83.149.100.186:9999,fbcd3f045dd2a8b5439cc103edb301274858a4510eac19d64f894bd90cc83300,Regular,true,done,false,97.0,A,52843,52843,6748.8,52843,52843,11477.5,2502843,1515,204,27677383,0,0,12.68,
8.222.147.108:9999,0c2679ddf6978a22d4591900eb8e2d9a64185b933750ec2eacd9d234c5c23700,Regular,true,done,false,94.9,A,52843,52843,6222.9,52843,52843,10555.3,2502843,1201,429,27463497,0,0,14.06,
107.173.28.208:9999,7dacd85c7ceb6d983ac6bdc38522e131769dea566d1088eeae9352bc52d64d00,Regular,true,done,false,100.0,A,52843,52843,5728.8,52843,52843,10053.6,2502843,39,40,27395095,0,0,11.81,
188.40.178.69:9999,0bddae6751bb3d536e89703d9a69a83567cf92eab9747bde18d539ac48e56200,Regular,true,done,false,97.4,A,52843,52843,7544.7,52843,52843,13182.8,2502843,264,287,27343715,0,0,10.52,
112.124.37.208:9999,5867ca9663db4a773e962a890d21e0046b30c99e41a0eb85c4ab9e240d1b7400,Regular,false,failed,,,,,,,,,,,,,,,,,no connection within 15s
8.219.185.232:9999,ea41ae9beac1d9283e4ea2f91b9fa6586b74cacc6deea5477a2956ee49aa9200,Regular,true,done,false,94.9,A,52843,52843,6487.9,52843,52843,11124.2,2502843,1219,427,27235221,0,0,13.52,
188.40.251.207:9999,33062bab7965a6bb7a097d58362f7e80bc0e1bd2312f2cb23e940697fc93ae00,Regular,true,done,false,97.5,A,52843,52843,7117.1,52843,52843,12640.1,2502843,252,275,27195282,0,0,10.78,
132.243.197.91:9999,cd831227bc7704cd9f302bb71144e3854ca6c6918d65bd1334629f80b662b000,Regular,true,done,false,97.0,A,52843,52843,3497.7,52843,52843,5853.2,2502843,611,286,26268987,0,0,22.20,
[::]:0,9f312b7f1a31b4ffda3446c7deb7c7c94a334acab26b402411da6559de6bbe00,Regular,false,failed,,,,,,,,,,,,,,,,,no connection within 15s
162.243.28.48:9999,2d34df681821a0e560a9b655413d39efe72ec33e0e9af5b25234974179bcc500,Regular,false,failed,,,,,,,,,,,,,,,,,no connection within 15s
176.123.57.214:9999,ab7fbcfea1add2f13a5e0c8afdf0afcf516a9ebe5aa7777da1e09ee4d8cbeb00,Regular,false,failed,,,,,,,,,,,,,,,,,no connection within 15s
8.222.135.69:9999,cc9fda7764004877bd332a552b7dc5ddef1011d6d45ee9d8924fa972b8b6f200,Regular,true,done,false,95.7,A,52843,52843,7100.6,52843,52843,13623.9,2502843,433,427,27459771,0,0,11.25,
132.243.197.237:9999,78e3b02e05391adb953e15d6bdb3daae616fde0c1a014d456ee010483e58f300,Regular,true,done,false,96.0,A,52843,52843,4362.1,52843,52843,7185.9,2502843,469,399,26677666,0,0,17.18,
80.209.233.182:9999,174747cfb25de3b935d58d558d2928343e18eee50edb7bbf97aa2fb6f057f800,Regular,false,failed,,,,,,,,,,,,,,,,,no connection within 15s
161.97.88.219:9999,e491fa65da757a49a3aa8aee25f2abd1030b1c4428d21c8272950ac51ec1f800,Evo,true,done,false,97.7,A,52843,52843,8251.7,52843,52843,12785.9,2502843,256,259,27012431,0,0,10.63,
188.40.182.196:9999,2a2b66fbd7098a2dd8436c540f42e85f12964a63f68e021cef0aa486f23a0401,Regular,true,done,false,97.0,A,52843,52843,8570.1,52843,52843,14524.4,2502843,577,295,27404712,0,0,10.01,
178.208.87.231:9999,d729b9bf083f089d666ced7ee7358d12e67deee2a2dd6ca4eb7a9efcd9ca1001,Regular,true,done,false,92.4,A,52843,52843,2047.3,52843,52843,2950.2,2502843,390,406,24796582,0,0,38.93,
45.61.186.121:9999,7d26731a08910bc910a6b8659929df984742ca751991e1590113503ea3041a01,Regular,true,done,false,99.4,A,52843,52843,9554.4,52843,52843,15069.7,2502843,110,110,27318471,0,0,8.77,
82.196.9.192:9999,eda7fd55c63ac3bd8600a308c67ead335f78379aece503f548109bb9fbc72601,Regular,false,done,false,98.2,A,52843,52843,5965.0,52843,52843,10517.2,2502843,216,216,27167503,0,0,12.26,
93.190.140.101:9999,914450083406ca13d846da8df398fd7da6ee14d0212b29144554d069394b8001,Regular,true,done,false,98.1,A,52843,52843,8347.5,52843,52843,14424.9,2502843,211,227,27517584,0,0,9.54,
151.244.85.9:9999,5901cde754878378e193194d794c164837620708f66433d505215159cc908101,Regular,true,done,false,97.1,A,52843,52843,5631.8,52843,52843,9654.7,2502843,472,293,27553073,0,0,13.75,
159.65.59.244:9999,c800f1a9f772b3e9912c5431cb304a4fee03d7232ca062abcfde6f6376038b01,Regular,true,done,false,97.8,A,52843,52843,7935.5,52843,52843,13965.2,2502843,706,207,27362051,0,0,10.51,
176.123.57.206:9999,2a590f2648c7a6979e689b1010e04e46e49544025ff1b221328347cc2aa5b201,Regular,false,failed,,,,,,,,,,,,,,,,,no connection within 15s
178.62.236.233:9999,01a9810a299263b05ba5a1bb9e14e2c191d69266674830be9bc8fe721224c101,Regular,true,done,false,98.0,A,52843,52843,6920.7,52843,52843,11932.6,2502843,391,219,27526016,0,0,11.26,
151.244.85.155:9999,2cd4c562bda29b4c4bffe0c74d55ba08f4a169b741872ca571662f7e5b0cd301,Regular,true,done,false,94.9,A,52843,52843,2203.2,52843,52843,4205.9,2502843,295,298,25804532,0,0,28.05,
5.189.145.80:9999,5dd3585287d5401405c915306d7e206444d63bd0ce1b1dd190dff73de6a70502,Evo,true,done,false,97.0,A,52843,52843,6214.0,52843,52843,11221.4,2502843,290,318,27605699,0,0,12.01,
