address,score,grade,kind,pro_tx_hash,valid,status,stale,headers_synced,headers_target,headers_per_sec,filter_headers_synced,filters_synced,filters_per_sec,advertised_height,connect_ms,avg_ping_ms,bytes_received,timeouts,validation_failures,total_secs,error
139.180.143.115:9999,99.9,A,Evo,a7b88cd65a4308c28c7ee7ab44a9575e4554331b4a17b03989d9ba532724bbe4,TRUE,done,FALSE,52690,52611,4913.3,52690,52690,8155.9,2502690,87,61,27613377,0,0,15.52,
8.219.129.70:9999,99.9,A,Regular,b83ac5fc629b9d3a5edd4719f84fc80da3afea3d9fd151d15a08c1f6a7b93c28,TRUE,done,FALSE,52687,52611,6042.3,52687,52687,10985.8,2502687,65,63,27610243,0,0,11.2,
128.199.181.159:9999,99.9,A,Regular,719585c75058fd71bd9908d02c0fb898559e2d7b5a566cfeedcab4d71f483688,FALSE,done,FALSE,52675,52611,6593.1,52675,52675,9995.9,2502675,63,63,27480883,0,0,12.43,
139.180.208.106:9999,99.9,A,Regular,db2a90e812c3c7ff178da68ceefeebe4d71e4690291913debab755f497699bd5,TRUE,done,FALSE,52690,52611,6572.7,52690,52690,11606.2,2502690,67,64,27021852,0,0,10.56,
8.219.69.81:9999,99.8,A,Regular,f109e3f44098446ccfe719666cd75a645fd4461d6e126a2afc3dd4ced3c32888,TRUE,done,FALSE,52696,52611,7314.6,52696,52696,13126.1,2502696,66,65,27422264,0,0,9.55,
8.222.140.21:9999,99.8,A,Regular,a79870e20db767a6814ecc24c6cfd50ffc79072e99815f7ebc79fe4bdefe51e3,TRUE,done,FALSE,52694,52611,5746.1,52694,52694,11069.7,2502693,95,65,27199476,0,0,11.82,
8.219.243.178:9999,99.8,A,Regular,fa862f23a72cb2173892d35137683f562f8492a3296ce4b6e5347ba52e3ec2a4,TRUE,done,FALSE,52698,52611,4027.9,52698,52698,7356.8,2502698,67,65,27280236,0,0,16.15,
8.222.134.134:9999,99.8,A,Regular,24aa1adf52fca0d0c2c60690c09ad3552ae4a3fb057347e6612cd4ed3c0616f3,TRUE,done,FALSE,52694,52611,5902.1,52694,52694,10442.7,2502694,78,65,27491499,0,0,12.08,
8.219.229.197:9999,99.8,A,Regular,f9ac1d693f3801b6b9a7f69e7e15606e0fe87d6bdeada37ea1290f9cedc1b93e,TRUE,done,FALSE,52690,52611,10704.7,52690,52690,14607.3,2502690,70,65,27663297,0,0,8.54,
178.128.109.89:9999,99.8,A,Regular,6ffa9986041e1877645338f92de2bd04070b59b50397850f5f0b9e75fba0a2ff,FALSE,done,FALSE,52683,52611,7684.3,52683,52683,13743.5,2502683,70,65,27387457,0,0,9.13,
8.219.206.45:9999,99.8,A,Regular,c05ee51d6e63e830da4f1470d41bee80b13750f23ce5968b9bdd7eaba4ea72bb,TRUE,done,FALSE,52700,52611,7328.8,52700,52700,13540.1,2502700,68,66,27563773,0,0,10.83,
159.65.2.7:9999,99.8,A,Regular,9921ce50a9209a2e5318e281bc4bbe315247a89445f5f3605308a4b6988c67bb,TRUE,done,FALSE,52678,52611,7640.7,52678,52678,13871.6,2502678,79,66,27423719,0,0,9.03,
8.222.138.140:9999,99.8,A,Regular,43c2c6bcd8e3773ec51ba8db24fe0dc731fd9d9f245518c6ee18d0619175c3f8,TRUE,done,FALSE,52694,52611,5299.8,52694,52694,10150.6,2502694,69,66,26759155,0,0,12.06,
8.219.223.247:9999,99.8,A,Regular,61e3f54ac672e1f6546b53e6bc025f8d2001c632bdc6ddb6337803abf024d5de,TRUE,done,FALSE,52700,52611,5782.2,52700,52700,10906.7,2502700,81,66,27323325,0,0,11.57,
157.230.36.164:9999,99.8,A,Regular,5e01bdeb04d57303beb96558d6f78307fccac525a474fd0edb3a019eac14b9bf,FALSE,done,FALSE,52678,52611,7138.5,52678,52678,11359.1,2502678,79,66,27260025,0,0,10.64,
8.222.145.72:9999,99.8,A,Regular,6e7ef7f5c0bb58f991fd325686afd643c3ec0ed7d4224171c6a81c89e65de515,TRUE,done,FALSE,52673,52611,3286.9,52673,52673,6300.9,2502671,76,66,27376306,0,0,19.84,
8.222.139.20:9999,99.8,A,Regular,939e638971db1279c1b3e3b10475056739d25887f924e0068662edb381adca6e,TRUE,done,FALSE,52688,52611,6823.9,52688,52688,11781.1,2502688,70,66,27558311,0,0,10.9,
8.222.146.30:9999,99.8,A,Regular,31b5394a8780a2605496136e30a356366158a4c11302885f18636e0df372f78b,TRUE,done,FALSE,52690,52611,11197.3,52690,52690,18642.3,2502690,65,67,27309851,0,0,7.09,
43.134.180.113:9999,99.8,A,Regular,43c45a4a2f2e77c0e9c2c3d48d8908c5ee131ccb0ab21a23fc9e13bac64956cf,TRUE,done,FALSE,52642,52611,5278.1,52642,52642,9561.9,2502642,73,67,27154607,0,0,13.65,
8.219.241.180:9999,99.8,A,Regular,73e89b427f159b75afa727b8d13bcd2c6e73a21c498e1bdc1d4fc8579aa3de74,TRUE,done,FALSE,52694,52611,7730.3,52694,52694,14137.3,2502694,70,67,26661967,0,0,8.78,
68.183.235.156:9999,99.8,A,Regular,7880c4325994f5b0b9ec6de4ccbbf571365a56858d5aa7c7db0936f4ee28ea71,TRUE,done,FALSE,52664,52611,8715.4,52664,52664,15572.2,2502664,71,67,27076172,0,0,8.08,
8.219.234.202:9999,99.8,A,Regular,508bb193f06cd6f0b10e7f793df3a4c4c48bed1190d79cb913c15ec017e09541,TRUE,done,FALSE,52690,52611,5293.7,52690,52690,9491.1,2502690,63,67,27456947,0,0,14.94,
8.219.160.147:9999,99.8,A,Regular,a0a4bacb1f13b9babdce7c68c0029ca79b6dd6b8f0688b9101f68a0d5a0b2947,TRUE,done,FALSE,52691,52611,5906.6,52691,52691,10583.5,2502691,77,67,27169759,0,0,12.34,
8.222.135.8:9999,99.8,A,Regular,25e415cb0d38b4d6c4b086e3af08034eb8d8a2c1a8b49e16e8333dcc2b81a106,TRUE,done,FALSE,52644,52611,3595.1,52644,52644,6300.8,2502644,72,67,27507245,0,0,18.97,
8.219.190.253:9999,99.8,A,Regular,424d69c46e0c64d506a43765f1f51c785d05efea7c673e84fa99ee56db02195e,TRUE,done,FALSE,52693,52611,2530.2,52693,52693,4744.8,2502693,74,67,27153984,0,0,24.36,
8.219.140.82:9999,99.8,A,Regular,5ac62dc18afb115331d8305d70e03f2ba1f18fa3441c307bb4dbfae710130ad3,TRUE,done,FALSE,52700,52611,5441,52700,52700,8887,2502700,78,67,27153307,0,0,13.74,
8.219.134.65:9999,99.8,A,Regular,f5f8436e793dee783991eba61098b9a6e64678df608dbd94b78072bc7e24e6f5,TRUE,done,FALSE,52701,52611,6802.6,52701,52701,11455.7,2502701,67,67,27214355,0,0,10.62,
178.128.111.214:9999,99.8,A,Regular,5e7dbaf80c99977e0633faed4f76c545901640162147d75e4c5a03fb15c716b3,TRUE,done,FALSE,52680,52611,6775.1,52680,52680,11790.9,2502680,68,67,27430996,0,0,10.22,
8.219.68.85:9999,99.8,A,Regular,33181c70746034cc5f3086a22282dd61f54aec958f257c64480ed1e0cf557568,TRUE,done,FALSE,52694,52611,4823.2,52694,52694,8385.7,2502694,78,68,27294251,0,0,14.85,
8.219.192.108:9999,99.8,A,Regular,04fe8b85a65b69501aa6cfddcb9df9d3cef6be01011c3095fa0758ec66936214,TRUE,done,FALSE,52678,52611,6052.2,52678,52678,11216.8,2502678,69,68,27549481,0,0,10.8,
45.77.171.78:9999,99.8,A,Regular,9ad1439b4b2cea6c8a0ccce8337f5ed4db17b3863ce58583b0633b4a82254d54,TRUE,done,FALSE,52678,52611,9225.1,52678,52678,16451.6,2502678,77,68,27579625,0,0,7.85,
8.219.5.90:9999,99.8,A,Regular,5a9b33b42f2d2d1b47999585a32a27e7a312a3f300a14d77bd45039108775f26,TRUE,done,FALSE,52685,52611,4206.8,52685,52685,7412.1,2502685,70,68,27553864,0,0,16.55,
8.222.146.149:9999,99.8,A,Regular,c093ce0756b052e0f4d8526b84f6ffbd618616dedcbe1435bb6df7c4063f6073,TRUE,done,FALSE,52689,52611,5419.3,52689,52689,9402.8,2502689,70,69,27674632,0,0,12.53,
207.148.78.131:9999,99.8,A,Regular,197067931ebfbd2699438eca93875cfa6a9dce054e347f1feb494c7eb8ba3ec4,TRUE,done,FALSE,52685,52611,9044.2,52685,52685,16202.7,2502685,125,69,27658142,0,0,8.02,
8.222.141.118:9999,99.8,A,Regular,67112f6e261f9d01d340c2093e6177ffaf062e0a7799d7f9a52ace30ad854275,TRUE,done,FALSE,52690,52611,8268.3,52690,52690,13782.4,2502690,66,69,27231411,0,0,8.81,
8.219.234.92:9999,99.8,A,Regular,9cc96d04a055730f14d927b22ded033e4eb17a26222eb6d4530b17dd6bd815ea,TRUE,done,FALSE,52701,52611,6347.6,52701,52701,9963.2,2502701,71,69,27407943,0,0,12.16,
8.222.147.225:9999,99.8,A,Regular,8277556e2c7b2be37bb7277675959335b91ee08a4aa5a5ea5613a3562d7af11f,TRUE,done,FALSE,52678,52611,4408,52678,52678,7423.6,2502678,69,69,27610235,0,0,16.15,
139.59.102.0:9999,99.8,A,Regular,a4fb58853347e9bda8b34de15ced5b2cf88f7c959951b8c404f940679df3035f,TRUE,done,FALSE,52666,52611,4188.3,52666,52666,8616.2,2502666,71,69,27378795,0,0,15.48,
206.189.32.97:9999,99.8,A,Regular,d5fa342fe704fa10596c29894f51931641ead5b23a108d007ccb6d6c50ec0e8a,FALSE,done,FALSE,52663,52611,7307.1,52663,52663,13223.8,2502663,69,69,27413415,0,0,9.72,
8.222.128.127:9999,99.8,A,Regular,c978ea72d30e1ba04b7a60c0b55a5ed37b357bf5881f66399865e9bd31c04043,TRUE,done,FALSE,52683,52611,4750.4,52683,52683,9227.8,2502682,67,69,27316881,0,0,13.66,
